group,code,description,price_1,price_2,price_3
SCREENING - SLAT EXTRUSIONS,XP-6500-E65-P,XPRESS Screening - 65 x 16.5mm ECONO SLAT - (no centre web; 1.2mm wall) - 6500mm long - PRIMROSE (GD037A) [sold in pack lots of 96 slats],32.85,,
SCREENING - SLAT EXTRUSIONS,XP-6500-E65-SM,XPRESS Screening - 65 x 16.5mm ECONO SLAT - (no centre web; 1.2mm wall) - 6500mm long - SURFMIST MATT (GA236A) [sold in pack lots of 96 slats],31.05,,
SCREENING - SLAT EXTRUSIONS,XP-6500-E65-W,XPRESS Screening - 65 x 16.5mm ECONO SLAT - (no centre web; 1.2mm wall) - 6500mm long - PEARL WHITE GLOSS (GA078A) [sold in pack lots of 96 slats],32.85,,
SCREENING - SLAT EXTRUSIONS,ZLM-FRAME,QUICKSCREEN GATE PERIMETER FRAME -  per lineal meter charge for cut to size,,,
SCREENING - XPRESS PLUS EXTRUSIONS,PRODUCT CODE,DESCRIPTION,UNIT PRICE,,
SCREENING - XPRESS PLUS EXTRUSIONS,XP-5800-CSR-B,XPRESS Screening - 40 x 13mm CENTRE SUPPORT RAIL - 5800mm long - SATIN BLACK (GN150A) Includes Snap on Concealed Fixing Cover,43.48,39.56,34.79
SCREENING - XPRESS PLUS EXTRUSIONS,XP-5800-CSR-BS,XPRESS Screening - 40 x 13mm CENTRE SUPPORT RAIL - 5800mm long - BASALT SATIN (GP108A) Includes Snap on Concealed Fixing Cover,43.48,39.56,34.79
SCREENING - XPRESS PLUS EXTRUSIONS,XP-5800-CSR-D,XPRESS Screening - 40 x 13mm CENTRE SUPPORT RAIL - 5800mm long - DUNE SATIN (GP152A) Includes Snap on Concealed Fixing Cover,43.48,39.56,34.79
SCREENING - XPRESS PLUS EXTRUSIONS,XP-5800-CSR-G,XPRESS Screening - 40 x 13mm CENTRE SUPPORT RAIL - 5800mm long - WOODLAND GREY  Includes Snap on Concealed Fixing Cover,43.48,39.56,34.79
SCREENING - XPRESS PLUS EXTRUSIONS,XP-5800-CSR-M,XPRESS Screening - 40 x 13mm CENTRE SUPPORT RAIL - 5800mm long - MILL  Includes Snap on Concealed Fixing Cover,33.09,30.11,26.48
SCREENING - XPRESS PLUS EXTRUSIONS,XP-5800-CSR-MN,XPRESS Screening - 40 x 13mm CENTRE SUPPORT RAIL - 5800mm long - MONUMENT Includes Snap on Concealed Fixing Cover,43.48,39.56,34.79
SCREENING - XPRESS PLUS EXTRUSIONS,XP-5800-CSR-P,"XPRESS Screening - 40 x 13mm CENTRE SUPPORT RAIL - 5800mm long - PRIMROSE Includes Snap on Concealed Fixing Cover  ** Available from Brisbane, Adelaide and Perth Depots **",43.48,39.56,34.79
SCREENING - XPRESS PLUS EXTRUSIONS,XP-5800-CSR-PB,"XPRESS Screening - 40 x 13mm CENTRE SUPPORT RAIL - 5800mm long - PAPERBARK Includes Snap on Concealed Fixing Cover  ** Available from Brisbane, Adelaide and Perth Depots **",43.48,39.56,34.79
SCREENING - XPRESS PLUS EXTRUSIONS,XP-5800-CSR-S,XPRESS Screening - 40 x 13mm CENTRE SUPPORT RAIL - 5800mm long - PALLADIUM SILVER  Includes Snap on Concealed Fixing Cover,43.48,39.56,34.79
SCREENING - XPRESS PLUS EXTRUSIONS,XP-5800-CSR-SM,XPRESS Screening - 40 x 13mm CENTRE SUPPORT RAIL - 5800mm long - SURFMIST  Includes Snap on Concealed Fixing Cover,43.48,39.56,34.79
SCREENING - XPRESS PLUS EXTRUSIONS,XP-5800-CSR-W,XPRESS Screening - 40 x 13mm CENTRE SUPPORT RAIL - 5800mm long - PEARL WHITE GLOSS (GA078A) Includes Snap on Concealed Fixing Cover,43.48,39.56,34.79
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2100-INS09-B,XPRESS PLUS Screening - 2100mm - Aluminium INSERT with 9mm spacing SATIN BLACK (GN150A) (Suits Xpress Plus Side Frame),8.37,7.75,7.16
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2100-INS09-BS,XPRESS PLUS Screening - 2100mm - Aluminium INSERT with 9mm spacing BASALT SATIN (GP108A) (Suits Xpress Plus Side Frame),8.37,7.75,7.16
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2100-INS09-D,XPRESS PLUS Screening - 2100mm - Aluminium INSERT with 9mm spacing DUNE SATIN (GP152A) (Suits Xpress Plus Side Frame),8.37,7.75,7.16
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2100-INS09-G,XPRESS PLUS Screening - 2100mm - Aluminium INSERT with 9mm spacing WOODLAND GREY MATT (GL205A) (suits Xpress Plus Side Frame),8.37,7.75,7.16
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2100-INS09-M,XPRESS PLUS Screening - 2100mm - Aluminium INSERT with 9mm spacing MILL  (suits Xpress Plus Side Frame),7.58,7.03,6.49
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2100-INS09-MN,XPRESS PLUS Screening - 2100mm - Aluminium INSERT with 9mm spacing MONUMENT MATT (GL229A) (suits Xpress Plus Side Frame),8.37,7.75,7.16
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2100-INS09-S,XPRESS PLUS Screening - 2100mm - Aluminium INSERT with 9mm spacing PALLADIUM SILVER PEARL (GY184C) (suits Xpress Plus Side Frame),8.37,7.75,7.16
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2100-INS09-SM,XPRESS PLUS Screening - 2100mm - Aluminium INSERT with 9mm spacing SURFMIST MATT (GA236A) (suits Xpress Plus Side Frame),8.37,7.75,7.16
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2100-INS09-W,XPRESS PLUS Screening - 2100mm - Aluminium INSERT with 9mm spacing PEARL WHITE GLOSS (GA078A) (Suits Xpress Plus Side Frame),8.37,7.75,7.16
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2100-INS20-B,XPRESS PLUS Screening - 2100mm - Aluminium INSERT with 20mm spacing SATIN BLACK (GN150A) (Suits Xpress Plus Side Frame),8.37,7.75,7.16
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2100-INS20-BS,XPRESS PLUS Screening - 2100mm - Aluminium INSERT with 20mm spacing BASALT SATIN (GP108A) (Suits Xpress Plus Side Frame),8.37,7.75,7.16
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2100-INS20-D,XPRESS PLUS Screening - 2100mm - Aluminium INSERT with 20mm spacing DUNE SATIN (GP152A) (Suits Xpress Plus Side Frame),8.37,7.75,7.16
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2100-INS20-G,XPRESS PLUS Screening - 2100mm - Aluminium INSERT with 20mm spacing WOODLAND GREY MATT (GL205A) (suits Xpress Plus Side Frame),8.37,7.75,7.16
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2100-INS20-M,XPRESS PLUS Screening - 2100mm - Aluminium INSERT with 20mm spacing MILL  (Suits Xpress Plus Side Frame),7.58,7.03,6.49
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2100-INS20-MN,XPRESS PLUS Screening - 2100mm - Aluminium INSERT with 20mm spacing MONUMENT MATT (GL229A) (Suits Xpress Plus Side Frame),8.37,7.75,7.16
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2100-INS20-S,XPRESS PLUS Screening - 2100mm - Aluminium INSERT with 20mm spacing PALLADIUM SILVER PEARL (GY184C) (Suits Xpress Plus Side Frame),8.37,7.75,7.16
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2100-INS20-SM,XPRESS PLUS Screening - 2100mm - Aluminium INSERT with 20mm spacing SURFMIST MATT (GA236A) (Suits Xpress Plus Side Frame),8.37,7.75,7.16
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2100-INS20-W,XPRESS PLUS Screening - 2100mm - Aluminium INSERT with 20mm spacing PEARL WHITE GLOSS (GA078A) (Suits Xpress Plus Side Frame),8.37,7.75,7.16
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-1W-BS,XPRESS PLUS Screening - 2400mm - 50 x 50mm  ONE WAY POST  BASALT SATIN (GP108A) (Patented friction fit post system for slat ; top cap sold separately) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-1W-D,XPRESS PLUS Screening - 2400mm - 50 x 50mm  ONE WAY POST  DUNE SATIN (GP152A) (Patented friction fit post system for slat ; top cap sold separately) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-1W-M,XPRESS PLUS Screening - 2400mm - 50 x 50mm  ONE WAY POST  MILL FINISH (Patented friction fit post system for slat ; top cap sold separately) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-1W-P,XPRESS PLUS Screening - 2400mm - 50 x 50mm  ONE WAY POST  PRIMROSE (GD037A) (Patented friction fit post system for slat ; top cap sold separately) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-1W-PB,XPRESS PLUS Screening - 2400mm - 50 x 50mm  ONE WAY POST  PAPERBARK (GU114A) (Patented friction fit post system for slat ; top cap sold separately) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-1W-S,XPRESS PLUS Screening - 2400mm - 50 x 50mm  ONE WAY POST  PALLADIUM SILVER PEARL (GY184C) (Patented friction fit post system for slat ; top cap sold separately) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-1W-W,XPRESS PLUS Screening - 2400mm - 50 x 50mm  ONE WAY POST  PEARL WHITE GLOSS (GA078A) (Patented friction fit post system for slat ; top cap sold separately) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-2W-B,XPRESS PLUS Screening - 2400mm - 50 x 50mm  TWO WAY POST  BLACK SATIN (GN150A) (Patented friction fit post system for slat ; top cap sold separately) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-2W-BS,XPRESS PLUS Screening - 2400mm - 50 x 50mm  TWO WAY POST  BASALT SATIN (GP108A) (Patented friction fit post system for slat ; top cap sold separately) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-2W-D,XPRESS PLUS Screening - 2400mm - 50 x 50mm  TWO WAY POST  DUNE SATIN (GP152A) (Patented friction fit post system for slat ; top cap sold separately) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-2W-G,XPRESS PLUS Screening - 2400mm - 50 x 50mm  TWO WAY POST  WOODLAND GREY MATT (GL205A) (Patented friction fit post system for slat ; top cap sold separately) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-2W-M,XPRESS PLUS Screening - 2400mm - 50 x 50mm  TWO WAY POST  MILL FINISH (Patented friction fit post system for slat ; top cap sold separately) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-2W-MN,XPRESS PLUS Screening - 2400mm - 50 x 50mm  TWO WAY POST  MONUMENT MATT (GL229A)  (Patented friction fit post system for slat ; top cap sold separately) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-2W-P,XPRESS PLUS Screening - 2400mm - 50 x 50mm  TWO WAY POST  PRIMROSE (GD037A) (Patented friction fit post system for slat ; top cap sold separately) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-2W-PB,XPRESS PLUS Screening - 2400mm - 50 x 50mm  TWO WAY POST  PAPERBARK (GU114A) (Patented friction fit post system for slat ; top cap sold separately) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-2W-S,XPRESS PLUS Screening - 2400mm - 50 x 50mm  TWO WAY POST  PALLADIUM SILVER PEARL (GY184C) (Patented friction fit post system for slat ; top cap sold separately) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-2W-SM,XPRESS PLUS Screening - 2400mm - 50 x 50mm  TWO WAY POST  SURFMIST MATT (GA236A) (Patented friction fit post system for slat ; top cap sold separately) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-2W-W,XPRESS PLUS Screening - 2400mm - 50 x 50mm  TWO WAY POST  PEARL WHITE GLOSS (GA078A) (Patented friction fit post system for slat ; top cap sold separately) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-90-B,XPRESS PLUS Screening - 2400mm - 50 x 50mm  90 DEGREE POST  BLACK SATIN (GN150A) (Patented friction fit post system for slat ; top cap sold separately - one lug to be removed) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-90-BS,XPRESS PLUS Screening - 2400mm - 50 x 50mm  90 DEGREE POST  BASALT SATIN (GP108A) (Patented friction fit post system for slat ; top cap sold separately - one lug to be removed) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-90-D,XPRESS PLUS Screening - 2400mm - 50 x 50mm  90 DEGREE POST  DUNE SATIN (GP152A) (Patented friction fit post system for slat ; top cap sold separately - one lug to be removed) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-90-G,XPRESS PLUS Screening - 2400mm - 50 x 50mm  90 DEGREE POST  WOODLAND GREY MATT (GL205A) (Patented friction fit post system for slat ; top cap sold separately - one lug to be removed) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-90-M,XPRESS PLUS Screening - 2400mm - 50 x 50mm  90 DEGREE POST  MILL FINISH (Patented friction fit post system for slat ; top cap sold separately - one lug to be removed) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-90-P,XPRESS PLUS Screening - 2400mm - 50 x 50mm  90 DEGREE POST  PRIMROSE (GD037A) (Patented friction fit post system for slat ; top cap sold separately - one lug to be removed) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-90-PB,XPRESS PLUS Screening - 2400mm - 50 x 50mm  90 DEGREE POST  PAPERBARK (GU114A) (Patented friction fit post system for slat ; top cap sold separately - one lug to be removed) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-90-S,XPRESS PLUS Screening - 2400mm - 50 x 50mm  90 DEGREE POST  PALLADIUM SILVER PEARL (GY184C) (Patented friction fit post system for slat ; top cap sold separately - one lug to be removed) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-90-SM,XPRESS PLUS Screening - 2400mm - 50 x 50mm  90 DEGREE POST  SURFMIST MATT (GA236A) (Patented friction fit post system for slat ; top cap sold separately - one lug to be removed) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-2400-90-W,XPRESS PLUS Screening - 2400mm - 50 x 50mm  90 DEGREE POST  PEARL WHITE GLOSS (GA078A) (Patented friction fit post system for slat ; top cap sold separately - one lug to be removed) **** Special pricing. Check when pricing validity ends.,39,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-6000-1W-B,XPRESS PLUS Screening - 6000mm - 50x50mm ONE WAY POST - SATIN BLACK (GN150A) (Patented friction fit post system for slat; top cap sold separately),110.69,101.48,91.33
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-6000-1W-BS,XPRESS PLUS Screening - 6000mm - 50x50mm ONE WAY POST - BASALT SATIN (GP108A) (Patented friction fit post system for slat; top cap sold separately),110.69,101.48,91.33
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-6000-1W-D,XPRESS PLUS Screening - 6000mm - 50x50mm ONE WAY POST - DUNE SATIN (GP152A) (Patented friction fit post system for slat; top cap sold separately),110.69,101.48,91.33
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-6000-1W-G,XPRESS PLUS Screening - 6000mm - 50x50mm ONE WAY POST - WOODLAND GREY MATT (GL205A) (Patented friction fit post system for slat; top cap sold separately),110.69,101.48,91.33
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-6000-1W-M,XPRESS PLUS Screening - 6000mm - 50x50mm ONE WAY POST - MILL (Patented friction fit post system for slat; top cap sold separately),94.97,87.09,78.36
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-6000-1W-MN,XPRESS PLUS Screening - 6000mm - 50x50mm ONE WAY POST - MONUMENT MATT (GL229A) (Patented friction fit post system for slat; top cap sold separately),110.69,101.48,91.33
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-6000-1W-P,XPRESS PLUS Screening - 6000mm - 50x50mm ONE WAY POST - PRIMROSE (GD037A),110.69,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-6000-1W-PB,XPRESS PLUS Screening - 6000mm - 50x50mm ONE WAY POST - PAPERBARK (GU114A),110.69,,
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-6000-1W-S,XPRESS PLUS Screening - 6000mm - 50x50mm ONE WAY POST - PALLADIUM SILVER PEARL (GY184C) (Patented friction fit post system for slat; top cap sold separately),110.69,101.48,91.33
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-6000-1W-SM,XPRESS PLUS Screening - 6000mm - 50x50mm ONE WAY POST - SURFMIST MATT (GA236A) (Patented friction fit post system for slat; top cap sold separately),110.69,101.48,91.33
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-6000-1W-W,XPRESS PLUS Screening - 6000mm - 50x50mm ONE WAY POST - PEARL WHITE GLOSS (GA078A) (Patented friction fit post system for slat; top cap sold separately),110.69,101.48,91.33
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-6000-2W-B,XPRESS PLUS Screening - 6000mm - 50x50mm TWO WAY POST - SATIN BLACK (GN150A) (Patented friction fit post system for slat; top cap sold separately),100.63,92.25,83.03
SCREENING - XPRESS PLUS EXTRUSIONS,XPL-6000-2W-BS,XPRESS PLUS Screening - 6000mm - 50x50mm TWO WAY POST - BASALT SATIN (GP108A) (Patented friction fit post system for slat; top cap sold separately),100.63,92.25,83.03
